hostname,bv,rhk,li,teff,prot,ruwe
OGLE-TR-10,0.606,,,5702.290031711647,,
KOI-13,0.1146666680773099,,,7847.512428571428,,
GJ 1132,,,,3359.3598875976563,,
KELT-7,0.4258260694889388,,,6717.155084650642,,
HATS-61,0.787,,,5479.358261538461,24.0,
HATS-63,0.703,,,5662.0392073102685,,
HATS-18,0.78349996,,,5548.539842351974,9.4,
HD 108236,0.6442222264077928,,,5759.223879480698,3.796,
HD 3167,1.0700000524520874,,,5302.283558367515,,
TOI-815,0.88,,,4961.650873990885,,
TOI-1224,1.5630001,,,3517.7944545454548,1.2086766758855183,
WASP-76,0.5415000170469284,,,6286.349101906343,,
TOI-5704,1.06,,,4572.58201850329,,
HD 23472,1.03244444931878,,,4619.362005278716,29.652,
TOI-672,1.518,,,3776.1424875,,
TOI-199,0.82949996,,,5028.710898182236,1.04328,
KELT-18,0.4326666792233785,,,6746.242958825233,,
TOI-2096,,,,3511.25,,
WASP-80,1.268,,,4106.354078052662,,
KELT-9,0.0445,,,9158.532884564313,0.588911,
Kepler-370,0.724,,,5443.92842780962,57.2400016784668,
Kepler-400,0.7565,,,5916.108794531249,13.167,
Kepler-221,0.8186667,,,5160.283096960449,9.4042225,
Kepler-367,1.05,,,4700.464862618764,16.609333,
Kepler-393,,,,6335.89375485131,,
Kepler-304,1.09,,,4732.271331283968,14.171714,
Kepler-360,0.695,,,5559.176140225906,10.200444,
Kepler-243,0.8735,,,5110.691115692935,26.168499,
Kepler-261,0.915,,,5030.92141554865,12.3382225,
Kepler-327,1.4666667,,,3755.279069767442,25.12,
Kepler-136,0.3195,,,5988.174199075189,0.3400000035762787,
Kepler-122,0.601,,,5858.263800582108,61.7599983215332,
Kepler-157,,,,5738.3712232637145,75.73999786376953,
Kepler-147,1.026,,,5832.13697025924,78.66000366210938,
Kepler-239,1.042,,,4934.617342416159,29.65999984741211,
Kepler-200,0.674,,,5817.410003125,19.0804,
Kepler-254,0.824,,,5542.834747434226,24.55657,
Kepler-172,0.857,,,5393.719910430137,23.873001,
Kepler-299,,,,5554.769201171875,54.290000915527344,
Kepler-278,,,,4886.04087720893,,
Kepler-339,0.7556667,,,5374.086240820313,16.81911,
Kepler-397,,,,5250.162677283654,34.150001525878906,
Kepler-399,0.75,,,5293.15150282552,21.46500015258789,
WASP-176,0.599,,,6099.741317382813,,
K2-178,0.873,,,5557.3117541406245,,
WASP-4,0.8852500021457672,,,5478.729950000001,22.2,
TOI-1693,1.503,,,4001.059699869792,,
K2-399,0.658,,,5703.765309126421,,
K2-98,0.479,,,6033.475587418835,,
K2-271,0.682,,,5599.637522479839,18.809999465942383,
K2-133,1.32,,,3834.28536328125,35.75,
K2-330,0.5703333,,,6217.723416901042,,
K2-105,0.795,,,5271.572699328755,24.059999465942383,
TOI-3807,0.7620000243186951,,,5876.563331702303,,
K2-148,,,,3899.238147840863,14.775,
TOI-4087,0.4670000076293945,,,5948.906925164473,,
TOI-2818,0.677,,,5919.671773158481,,
TOI-3235,,,,3627.675458984376,,
TOI-4463 A,0.74399996,,,5597.843706845238,,
TOI-2141,0.7049999833106995,,,5675.890687047697,,
TOI-2525,1.007,,,4872.62661953125,,
TOI-3785,1.59,,,3744.734710797991,,
TOI-3984 A,1.446,,,3573.380602522314,52.0178795697455,
WASP-124,0.625,,,6061.822336745689,,
WASP-25,0.4986666738986969,,,5675.38552513587,,
TOI-5293 A,1.457,,,3784.796577777778,,
K2-107,0.701,,,5966.430575603693,,
WASP-13,0.5350000113248825,,,5849.479487881691,,
K2-155,1.267,,,4196.247598779297,,
TOI-1273,0.6864999830722809,,,5660.196567491319,,
TOI-5803,0.849,,,5168.78532248264,,
WASP-58,0.5897500067949295,,,5914.735157725695,,
TOI-4791,0.46649998,,,5984.432811718751,,
TOI-5174,0.718,,,5397.527019503349,,
TOI-2084,1.5593333,,,3780.336616666667,,
TOI-2524,0.692,,,5732.582296614583,,
TOI-4308,0.794,,,5191.216155117188,,
TOI-4377,1.073,,,4767.298163783483,,
